nation,testname,date,latitude,longitude,yield,time,altitude,testtype,site
USA,Trinity,16-Jul-45,33.6 N,106.5 W,19.3,1229:45:00,30,AT,NM
USA,Little Boy,5-Aug-45,34.3914 N,132.4581 E,15,2316:02:00,580,AD,JP
USA,Fat Man,9-Aug-45,32.77017 N,129.86567 E,21,202,503,AD,JP
USA,CROSSROADS-Able,30-Jun-46,11.60 N,165.51 E,19.1,2100:34:00,158,AD,BK
USA,CROSSROADS-Baker,24-Jul-46,11.60 N,165.51 E,20.3,2035,-27,WS,BK
USA,SANDSTONE-X-Ray,14-Apr-48,11.667 N,162.240 E,36.5,1817,61,AT,EN
USA,SANDSTONE-Yoke,30-Apr-48,11.622 N,162.320 E,48.7,1809,61,AT,EN
USA,SANDSTONE-Zebra,14-May-48,11.555 N,162.354 E,18.2,1804,61,AT,EN
USSR,Pervaya Molniya,9-Aug-49,50.2 N,78.3 E,22,1200,30,AT,PL
USA,RANGER-Able,27-Jan-51,36.80 N,115.95 W,1,1345,323,AD,NV
USA,RANGER-Baker,28-Jan-51,36.8 N,115.95 W,8,1352,329,AD,NV
USA,RANGER-Easy,1-Feb-51,36.8 N,115.95 W,1,1347,329,AD,NV
USA,RANGER-Baker-2,2-Feb-51,36.8 N,115.95 W,8,1349,335,AD,NV
USA,RANGER-Fox,6-Feb-51,36.8 N,115.95 W,22,1347,437,AD,NV
USA,GREENHOUSE-Dog,7-Apr-51,11.555 N,162.354 E,81,1834,91,AT,EN
USA,GREENHOUSE-Easy,20-Apr-51,11.668 N,162.240 E,46.7,1827,91,AT,EN
USA,GREENHOUSE-George,8-May-51,11.623 N,162.320 E,225,2130,61,AT,EN
USA,GREENHOUSE-Item,24-May-51,11.672 N,162.248 E,45.5,1817,61,AT,EN
USSR,Vtoroya Molniya,24-Sep-51,50.2 N,78.3 E,38,1015,30,AT,PL
USSR,(Joe 3),18-Oct-51,48. N,76. E,41.5,700,380,AD,KS
USA,BUSTER-JANGLE-Able,22-Oct-51,37.1 N,116.0 W,0.05,1400,30,AT,NV
USA,BUSTER-JANGLE-Baker,28-Oct-51,37.1 N,116.0 W,3.5,1520,341,AD,NV
USA,BUSTER-JANGLE-Charlie,30-Oct-51,37.1 N,116.0 W,14,1500,345,AD,NV
USA,BUSTER-JANGLE-Dog,1-Nov-51,37.1 N,116.0 W,21,1530,432,AD,NV
USA,BUSTER-JANGLE-Easy,5-Nov-51,37.10 N,116.0 W,31.4,1630,401,AD,NV
USA,BUSTER-JANGLE-Sugar,19-Nov-51,37.15 N,116.0 W,1.2,1700,1,AS,NV
USA,TUMBLER-SNAPPER-Able,1-Apr-52,36.80 N,115.95 W,1,1700,242,AD,NV
USA,TUMBLER-SNAPPER-Baker,15-Apr-52,37.1 N,116.0 W,1,1730,338,AD,NV
USA,TUMBLER-SNAPPER-Charlie,22-Apr-52,37.1 N,116.0 W,31,1730,1051,AD,NV
USA,TUMBLER-SNAPPER-Dog,1-May-52,37.1 N,116.0 W,19,1630,317,AD,NV
USA,TUMBLER-SNAPPER-Easy,7-May-52,37.0 N,116.1 W,12,1215,91,AT,NV
USA,TUMBLER-SNAPPER-Fox,25-May-52,37.10 N,116.1 W,11,1200,91,AT,NV
USA,TUMBLER-SNAPPER-George,1-Jun-52,37.0 N,116.0 W,15,1155,91,AT,NV
USA,TUMBLER-SNAPPER-How,5-Jun-52,37.1 N,116.1 W,14,1155,91,AT,NV
UK,Hurricane,3-Oct-52,20.40 S,115.57 E,25,0,-2.7,AW,MN
USA,IVY-Mike,31-Oct-52,11.669 N,162.196 E,10400,1915,11,AS,EN
USA,IVY-King,15-Nov-52,11.560 N,162.354 E,500,2330,451,AD,EN
USA,UPSHOT-KNOTHOLE-Annie,17-Mar-53,37.0 N,116.0 W,16,1320,91,AT,NV
USA,UPSHOT-KNOTHOLE-Nancy,24-Mar-53,37.10 N,116.1 W,24,1310,91,AT,NV
USA,UPSHOT-KNOTHOLE-Ruth,31-Mar-53,37.1 N,116.0 W,0.2,1300,93,AT,NV
USA,UPSHOT-KNOTHOLE-Dixie,6-Apr-53,37.1 N,116.0 W,11,1530,1836,AD,NV
USA,UPSHOT-KNOTHOLE-Ray,11-Apr-53,37.1 N,116.1 W,0.2,1245,30,AT,NV
USA,UPSHOT-KNOTHOLE-Badger,18-Apr-53,37.1 N,116.1 W,23,1235,91,AT,NV
USA,UPSHOT-KNOTHOLE-Simon,25-Apr-53,37.0 N,116.1 W,42.7,1230,91,AT,NV
USA,UPSHOT-KNOTHOLE-Encore,8-May-53,36.8 N,116.0 W,27,1530,739,AD,NV
USA,UPSHOT-KNOTHOLE-Harry,19-May-53,37.0 N,116.0 W,32,1205,91,AT,NV
USA,UPSHOT-KNOTHOLE-Grable,25-May-53,36.8 N,116.0 W,15,1630,160,AA,NV
USA,UPSHOT-KNOTHOLE-Climax,4-Jun-53,37.1 N,116.0 W,60.8,1115,407,AD,NV
UK,TOTEM T1,14-Oct-53,28.68 S,132.34 E,10,2230,31,AT,EM
UK,TOTEM T2,26-Oct-53,28.70 S,132.35 E,8,2230,31,AT,EM
USSR,(Joe 4),12-Aug-53,48. N,80. E,400,,30,AT,KS
USSR,(Joe 5),23-Aug-53,50 N,78 E,28,,600,AD,KS
USSR,(Joe 6),3-Sep-53,50 N,78 E,5.8,,255,A,KS
USSR,,8-Sep-53,50 N,78 E,1.6,,220,A,KS
USSR,,10-Sep-53,50 N,78 E,4.9,,220,A,KS
USA,CASTLE-Bravo,28-Feb-54,11.69 N,165.27 E,15000,1845,2,AS,BK
USA,CASTLE-Romeo,26-Mar-54,11.69 N,165.27 E,11000,1830,0,AW,BK
USA,CASTLE-Koon,6-Apr-54,11.50 N,165.36 E,110,1825,0,AS,BK
USA,CASTLE-Union,25-Apr-54,11.68 N,165.39 E,6900,1810,0,AW,BK
USA,CASTLE-Yankee,4-May-54,11.68 N,165.39 E,13500,1810,0,AW,BK
USA,CASTLE-Nectar,13-May-54,11.669 N,162.196 E,1690,1820,0,AW,EN
USSR,,14-Sep-54,53. N,53. E,40,533,350,AD,R-O
USSR,,29-Sep-54,50 N,78 E,0.2,,210,A,KS
USSR,,1-Oct-54,50 N,78 E,0.03,,105,A,KS
USSR,(Joe 9),3-Oct-54,50 N,78 E,2,,130,A,KS
USSR,(Joe 10),5-Oct-54,50 N,78 E,4,,0,AS,KS
USSR,(Joe 11),8-Oct-54,50 N,78 E,0.8,,295,A,KS
USSR,,19-Oct-54,50 N,78 E,0.0005,,15,AS,KS
USSR,(Joe 12),23-Oct-54,50 N,78 E,62,,410,A,KS
USSR,(Joe 13),26-Oct-54,50 N,78 E,2.8,,110,A,KS
USSR,(Joe 14),30-Oct-54,50 N,78 E,10,,55,AD,KS
USA,TEAPOT-Wasp,18-Feb-55,37.1 N,116.0 W,1,2000,232,AD,NV
USA,TEAPOT-Moth,22-Feb-55,37.0 N,116.0 W,2,1345,91,AT,NV
USA,TEAPOT-Tesla,1-Mar-55,37.15 N,116.0 W,7,1330,91,AT,NV
USA,TEAPOT-Turk,7-Mar-55,37.1 N,116.1 W,43,1320,152,AT,NV
USA,TEAPOT-Hornet,12-Mar-55,37.0 N,116.0 W,4,1320,91,AT,NV
USA,TEAPOT-Bee,22-Mar-55,37.1 N,116.0 W,8,1305,152,AT,NV
