nation,testname,date,latitude,longitude,yield,time,altitude,testtype,site
USA,Trinity,07/16/45,33.6,-106.5,19.3,1229:45:00,30,AT,NM
USA,Little Boy,08/05/45,34.3914,132.4581,15,2316:02:00,580,AD,JP
USA,Fat Man,08/09/45,32.77017,129.86567,21,202,503,AD,JP
USA,CROSSROADS-Able,06/30/46,11.6,165.51,19.1,2100:34:00,158,AD,BK
USA,CROSSROADS-Baker,07/24/46,11.6,165.51,20.3,2035,-27,WS,BK
USA,SANDSTONE-X-Ray,04/14/48,11.667,162.24,36.5,1817,61,AT,EN
USA,SANDSTONE-Yoke,04/30/48,11.622,162.32,48.7,1809,61,AT,EN
USA,SANDSTONE-Zebra,05/14/48,11.555,162.354,18.2,1804,61,AT,EN
USSR,Pervaya Molniya,08/09/49,50.2,78.3,22,1200,30,AT,PL
USA,RANGER-Able,01/27/51,36.8,-115.95,1,1345,323,AD,NV
USA,RANGER-Baker,01/28/51,36.8,-115.95,8,1352,329,AD,NV
USA,RANGER-Easy,02/01/51,36.8,-115.95,1,1347,329,AD,NV
USA,RANGER-Baker-2,02/02/51,36.8,-115.95,8,1349,335,AD,NV
USA,RANGER-Fox,02/06/51,36.8,-115.95,22,1347,437,AD,NV
USA,GREENHOUSE-Dog,04/07/51,11.555,162.354,81,1834,91,AT,EN
USA,GREENHOUSE-Easy,04/20/51,11.668,162.24,46.7,1827,91,AT,EN
USA,GREENHOUSE-George,05/08/51,11.623,162.32,225,2130,61,AT,EN
USA,GREENHOUSE-Item,05/24/51,11.672,162.248,45.5,1817,61,AT,EN
USSR,Vtoroya Molniya,09/24/51,50.2,78.3,38,1015,30,AT,PL
USSR,(Joe 3),10/18/51,48,76,41.5,700,380,AD,KS
USA,BUSTER-JANGLE-Able,10/22/51,37.1,-116,0.05,1400,30,AT,NV
USA,BUSTER-JANGLE-Baker,10/28/51,37.1,-116,3.5,1520,341,AD,NV
USA,BUSTER-JANGLE-Charlie,10/30/51,37.1,-116,14,1500,345,AD,NV
USA,BUSTER-JANGLE-Dog,11/01/51,37.1,-116,21,1530,432,AD,NV
USA,BUSTER-JANGLE-Easy,11/05/51,37.1,-116,31.4,1630,401,AD,NV
USA,BUSTER-JANGLE-Sugar,11/19/51,37.15,-116,1.2,1700,1,AS,NV
USA,TUMBLER-SNAPPER-Able,04/01/52,36.8,-115.95,1,1700,242,AD,NV
USA,TUMBLER-SNAPPER-Baker,04/15/52,37.1,-116,1,1730,338,AD,NV
USA,TUMBLER-SNAPPER-Charlie,04/22/52,37.1,-116,31,1730,1051,AD,NV
USA,TUMBLER-SNAPPER-Dog,05/01/52,37.1,-116,19,1630,317,AD,NV
USA,TUMBLER-SNAPPER-Easy,05/07/52,37,-116.1,12,1215,91,AT,NV
USA,TUMBLER-SNAPPER-Fox,05/25/52,37.1,-116.1,11,1200,91,AT,NV
USA,TUMBLER-SNAPPER-George,06/01/52,37,-116,15,1155,91,AT,NV
USA,TUMBLER-SNAPPER-How,06/05/52,37.1,-116.1,14,1155,91,AT,NV
UK,Hurricane,10/03/52,-20.4,115.57,25,0,-2.7,AW,MN
USA,IVY-Mike,10/31/52,11.669,162.196,10400,1915,11,AS,EN
USA,IVY-King,11/15/52,11.56,162.354,500,2330,451,AD,EN
USA,UPSHOT-KNOTHOLE-Annie,03/17/53,37,-116,16,1320,91,AT,NV
USA,UPSHOT-KNOTHOLE-Nancy,03/24/53,37.1,-116.1,24,1310,91,AT,NV
USA,UPSHOT-KNOTHOLE-Ruth,03/31/53,37.1,-116,0.2,1300,93,AT,NV
USA,UPSHOT-KNOTHOLE-Dixie,04/06/53,37.1,-116,11,1530,1836,AD,NV
USA,UPSHOT-KNOTHOLE-Ray,04/11/53,37.1,-116.1,0.2,1245,30,AT,NV
USA,UPSHOT-KNOTHOLE-Badger,04/18/53,37.1,-116.1,23,1235,91,AT,NV
USA,UPSHOT-KNOTHOLE-Simon,04/25/53,37,-116.1,42.7,1230,91,AT,NV
USA,UPSHOT-KNOTHOLE-Encore,05/08/53,36.8,-116,27,1530,739,AD,NV
USA,UPSHOT-KNOTHOLE-Harry,05/19/53,37,-116,32,1205,91,AT,NV
USA,UPSHOT-KNOTHOLE-Grable,05/25/53,36.8,-116,15,1630,160,AA,NV
USA,UPSHOT-KNOTHOLE-Climax,06/04/53,37.1,-116,60.8,1115,407,AD,NV
UK,TOTEM T1,10/14/53,-28.68,132.34,10,2230,31,AT,EM
UK,TOTEM T2,10/26/53,-28.7,132.35,8,2230,31,AT,EM
USSR,(Joe 4),08/12/53,48,80,400,,30,AT,KS
USSR,(Joe 5),08/23/53,50,78,28,,600,AD,KS
USSR,(Joe 6),09/03/53,50,78,5.8,,255,A,KS
USSR,,09/08/53,50,78,1.6,,220,A,KS
USSR,,09/10/53,50,78,4.9,,220,A,KS
USA,CASTLE-Bravo,02/28/54,11.69,165.27,15000,1845,2,AS,BK
USA,CASTLE-Romeo,03/26/54,11.69,165.27,11000,1830,0,AW,BK
USA,CASTLE-Koon,04/06/54,11.5,165.36,110,1825,0,AS,BK
USA,CASTLE-Union,04/25/54,11.68,165.39,6900,1810,0,AW,BK
USA,CASTLE-Yankee,05/04/54,11.68,165.39,13500,1810,0,AW,BK
USA,CASTLE-Nectar,05/13/54,11.669,162.196,1690,1820,0,AW,EN
USSR,,09/14/54,53,53,40,533,350,AD,R-O
USSR,,09/29/54,50,78,0.2,,210,A,KS
USSR,,10/01/54,50,78,0.03,,105,A,KS
USSR,(Joe 9),10/03/54,50,78,2,,130,A,KS
USSR,(Joe 10),10/05/54,50,78,4,,0,AS,KS
USSR,(Joe 11),10/08/54,50,78,0.8,,295,A,KS
USSR,,10/19/54,50,78,0.0005,,15,AS,KS
USSR,(Joe 12),10/23/54,50,78,62,,410,A,KS
USSR,(Joe 13),10/26/54,50,78,2.8,,110,A,KS
USSR,(Joe 14),10/30/54,50,78,10,,55,AD,KS
USA,TEAPOT-Wasp,02/18/55,37.1,-116,1,2000,232,AD,NV
